Frame,Start Time,End Time,Type,Delay (ms)
1,2024-11-11 18:11:09.929889,2024-11-11 18:11:09.958303,Client,28.413999999999998
2,2024-11-11 18:11:09.993969,2024-11-11 18:11:10.002131,Client,8.162
3,2024-11-11 18:11:10.040822,2024-11-11 18:11:10.051074,Client,10.252
4,2024-11-11 18:11:10.090461,2024-11-11 18:11:10.100073,Client,9.612
5,2024-11-11 18:11:10.137870,2024-11-11 18:11:10.146324,Client,8.453999999999999
6,2024-11-11 18:11:10.182472,2024-11-11 18:11:10.190246,Client,7.774
7,2024-11-11 18:11:10.227797,2024-11-11 18:11:10.230456,Client,2.659
8,2024-11-11 18:11:10.275380,2024-11-11 18:11:10.280690,Client,5.31
9,2024-11-11 18:11:10.324714,2024-11-11 18:11:10.340080,Client,15.366
10,2024-11-11 18:11:10.375436,2024-11-11 18:11:10.379905,Client,4.469
11,2024-11-11 18:11:10.422587,2024-11-11 18:11:10.434906,Client,12.319
12,2024-11-11 18:11:10.474039,2024-11-11 18:11:10.481258,Client,7.218999999999999
13,2024-11-11 18:11:10.520366,2024-11-11 18:11:10.530634,Client,10.267999999999999
14,2024-11-11 18:11:10.570166,2024-11-11 18:11:10.580561,Client,10.395
15,2024-11-11 18:11:10.620623,2024-11-11 18:11:10.630256,Client,9.633
16,2024-11-11 18:11:10.670212,2024-11-11 18:11:10.680628,Client,10.416
17,2024-11-11 18:11:10.720597,2024-11-11 18:11:10.730277,Client,9.68
18,2024-11-11 18:11:10.768002,2024-11-11 18:11:10.770034,Client,2.032
19,2024-11-11 18:11:10.812938,2024-11-11 18:11:10.820711,Client,7.773000000000001
20,2024-11-11 18:11:10.860616,2024-11-11 18:11:10.870558,Client,9.942
21,2024-11-11 18:11:10.910198,2024-11-11 18:11:10.920708,Client,10.51
22,2024-11-11 18:11:10.958346,2024-11-11 18:11:10.960357,Client,2.011
23,2024-11-11 18:11:11.003222,2024-11-11 18:11:11.010346,Client,7.1240000000000006
24,2024-11-11 18:11:11.051739,2024-11-11 18:11:11.060362,Client,8.623000000000001
25,2024-11-11 18:11:11.100338,2024-11-11 18:11:11.106646,Client,6.308
26,2024-11-11 18:11:11.106646,2024-11-11 18:11:11.131239,Predicted,24.593
27,2024-11-11 18:11:11.131239,2024-11-11 18:11:11.140529,Predicted,9.29
28,2024-11-11 18:11:11.144176,2024-11-11 18:11:11.146907,Predicted,2.731
29,2024-11-11 18:11:11.146907,2024-11-11 18:11:11.150680,Predicted,3.7729999999999997
30,2024-11-11 18:11:11.150680,2024-11-11 18:11:11.150680,Predicted,0.0
31,2024-11-11 18:11:11.150680,2024-11-11 18:11:11.150680,Predicted,0.0
32,2024-11-11 18:11:11.150680,2024-11-11 18:11:11.162026,Predicted,11.346
33,2024-11-11 18:11:11.163018,2024-11-11 18:11:11.163018,Predicted,0.0
34,2024-11-11 18:11:11.163018,2024-11-11 18:11:11.163018,Predicted,0.0
35,2024-11-11 18:11:11.163018,2024-11-11 18:11:11.170124,Predicted,7.106000000000001
36,2024-11-11 18:11:11.170124,2024-11-11 18:11:11.170124,Predicted,0.0
37,2024-11-11 18:11:11.170124,2024-11-11 18:11:11.178442,Predicted,8.318000000000001
38,2024-11-11 18:11:11.180447,2024-11-11 18:11:11.180447,Predicted,0.0
39,2024-11-11 18:11:11.180447,2024-11-11 18:11:11.180447,Predicted,0.0
40,2024-11-11 18:11:11.180447,2024-11-11 18:11:11.190317,Predicted,9.870000000000001
41,2024-11-11 18:11:11.190317,2024-11-11 18:11:11.193838,Predicted,3.521
42,2024-11-11 18:11:11.193838,2024-11-11 18:11:11.193838,Predicted,0.0
43,2024-11-11 18:11:11.193838,2024-11-11 18:11:11.200441,Predicted,6.603000000000001
44,2024-11-11 18:11:11.200441,2024-11-11 18:11:11.200441,Predicted,0.0
45,2024-11-11 18:11:11.200441,2024-11-11 18:11:11.200441,Predicted,0.0
46,2024-11-11 18:11:11.200441,2024-11-11 18:11:11.210491,Predicted,10.05
47,2024-11-11 18:11:11.210491,2024-11-11 18:11:11.210491,Predicted,0.0
48,2024-11-11 18:11:11.210491,2024-11-11 18:11:11.210491,Predicted,0.0
49,2024-11-11 18:11:11.220349,2024-11-11 18:11:11.220349,Predicted,0.0
50,2024-11-11 18:11:11.220349,2024-11-11 18:11:11.225714,Predicted,5.365
51,2024-11-11 18:11:12.380612,2024-11-11 18:11:12.391861,Client,11.249
52,2024-11-11 18:11:12.431202,2024-11-11 18:11:12.440226,Client,9.024000000000001
53,2024-11-11 18:11:12.480382,2024-11-11 18:11:12.490110,Client,9.728
54,2024-11-11 18:11:12.530005,2024-11-11 18:11:12.540309,Client,10.304
55,2024-11-11 18:11:12.580437,2024-11-11 18:11:12.590561,Client,10.123999999999999
56,2024-11-11 18:11:12.630368,2024-11-11 18:11:12.640495,Client,10.127
57,2024-11-11 18:11:12.680145,2024-11-11 18:11:12.690381,Client,10.236
58,2024-11-11 18:11:12.730446,2024-11-11 18:11:12.735451,Client,5.005
59,2024-11-11 18:11:12.775762,2024-11-11 18:11:12.780359,Client,4.597
60,2024-11-11 18:11:12.823550,2024-11-11 18:11:12.830109,Client,6.559
61,2024-11-11 18:11:12.872255,2024-11-11 18:11:12.880499,Client,8.244
62,2024-11-11 18:11:12.920136,2024-11-11 18:11:12.930254,Client,10.118
63,2024-11-11 18:11:12.966579,2024-11-11 18:11:12.970189,Client,3.61
64,2024-11-11 18:11:13.014248,2024-11-11 18:11:13.020348,Client,6.1000000000000005
65,2024-11-11 18:11:13.063189,2024-11-11 18:11:13.070198,Client,7.0089999999999995
66,2024-11-11 18:11:13.110652,2024-11-11 18:11:13.120459,Client,9.807
